City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Bestobe,KZ,5/22/2021 23:02,52.4994,73.0975,63.5,49,6,10.09
125,Thompson,CA,5/22/2021 22:57,55.7435,-97.8558,55.56,28,1,6.91
126,Sitio Novo Do Tocantins,BR,5/22/2021 23:02,-5.5183,-47.4611,77.11,84,94,1.79
127,Guerrero Negro,MX,5/22/2021 23:02,27.9769,-114.0611,66.18,49,0,23.71
128,Altamont,US,5/22/2021 23:02,42.2068,-121.7372,54.9,48,90,5.01
129,Alta Floresta,BR,5/22/2021 23:00,-9.8756,-56.0861,75.24,88,100,1.28
130,Chokurdakh,RU,5/22/2021 23:02,70.6333,147.9167,27.46,87,100,4.38
131,Airai,TL,5/22/2021 22:58,-8.9266,125.4092,60.42,74,50,2.62
132,Coihaique,CL,5/22/2021 22:59,-45.5752,-72.0662,47.01,81,75,4.61
133,Tuktoyaktuk,CA,5/22/2021 22:58,69.4541,-133.0374,41,70,75,13.8
134,Lima,PE,5/22/2021 23:01,-12.0432,-77.0282,63.14,75,4,4.23
135,Salamiyah,SY,5/22/2021 23:02,35.0113,37.0532,62.02,77,21,20.58
136,Seminole,US,5/22/2021 23:02,28.7086,-81.2081,81.36,56,1,1.99
137,Provideniya,RU,5/22/2021 23:02,64.3833,-173.3,37.08,77,94,5.44
138,Yellowknife,CA,5/22/2021 23:01,62.456,-114.3525,60.3,43,100,1.99
139,Jamestown,US,5/22/2021 23:02,42.097,-79.2353,74.52,66,20,7
140,Grindavik,IS,5/22/2021 23:02,63.8424,-22.4338,42.57,88,90,4.25
141,North Bend,US,5/22/2021 23:02,43.4065,-124.2243,64.24,70,41,1.01
142,Bredasdorp,ZA,5/22/2021 23:02,-34.5322,20.0403,50.29,77,17,3.44
143,Kahului,US,5/22/2021 22:57,20.8947,-156.47,84.97,75,11,13
144,Flin Flon,CA,5/22/2021 23:00,54.7682,-101.865,50.68,51,2,7.4
145,Rio Grande,BR,5/22/2021 23:02,-32.035,-52.0986,57.94,69,29,19.19
146,Cartagena Del Chaira,CO,5/22/2021 23:02,1.3349,-74.8429,75.63,96,79,1.77
147,Marsa Matruh,EG,5/22/2021 23:02,31.3525,27.2453,66.78,64,0,12.82
148,Nikolskoye,RU,5/22/2021 22:58,59.7035,30.7861,46.4,97,30,3.83
149,Saint Anthony,US,5/22/2021 23:02,45.0205,-93.218,86.32,64,75,4
150,Newport,GB,5/22/2021 23:02,51.5877,-2.9984,48.76,82,18,7.45
151,Eureka,US,5/22/2021 23:02,40.8021,-124.1637,62.2,63,5,8.99
152,Juegang,CN,5/22/2021 23:02,32.3174,121.1855,64.29,86,69,11.68
153,Beloha,MG,5/22/2021 23:02,-25.1667,45.05,63.34,89,95,5.21
154,Pevek,RU,5/22/2021 23:02,69.7008,170.3133,31.15,86,100,5.21
